index,is_correct,neural_causal_score,rule_based_causal_score,steps_count,dataset_index,overall_faithfulness,logical_consistency,contextual_relevance,conclusion_alignment,unfaithful_info_count,strong_links,weak_links,total_possible_links,mean_causal_score,strong_link_ratio,weak_link_ratio,aoc,accuracy_retained_mean,answer_changes_count,robustness_score,maintains_correctness_mean,neural_causal_score_quartile,overall_faithfulness_quartile,steps_count_quartile
0,False,0.05493372093301189,0.5263157894736842,20,8,0.3713385412267793,0.7,0.41401573508191136,0.0,6,1,0,19,0.0549337209330119,0.05263157894736842,0.0,0.0,0.0,2,1.0,0.0,Q2,Q2,Q1
1,False,0.14215152406169176,0.2727272727272727,23,16,0.37630573319315214,0.8260869565217391,0.30283035594944857,0.0,4,3,0,22,0.14215152406169176,0.13636363636363635,0.0,0.25,0.2,4,0.5,0.0,Q4,Q2,Q2
2,True,0.0065057600306047975,0.8,16,25,0.7264138943296354,0.8125,0.36674190091309655,1.0,3,0,0,15,0.0065057600306047975,0.0,0.0,0.25,0.2,4,0.0,0.0,Q1,Q4,Q1
3,False,0.13520268709508798,0.5,31,30,0.3559020471781983,0.7741935483870968,0.2935126999181228,0.0,7,2,2,30,0.135202687095088,0.06666666666666667,0.06666666666666667,0.0,0.0,5,0.0,0.0,Q4,Q2,Q4
4,False,0.030561299935796933,0.5384615384615384,27,37,0.29975491180843317,0.6666666666666667,0.23259815868511519,0.0,9,0,0,26,0.030561299935796926,0.0,0.0,0.25,0.2,3,0.0,0.0,Q1,Q1,Q3
5,False,0.04658948913192899,0.4117647058823529,18,40,0.4287240936522343,0.8888888888888888,0.3972835206850551,0.0,2,0,0,17,0.04658948913192899,0.0,0.0,0.25,0.2,3,0.5,0.0,Q2,Q3,Q1
6,False,0.008226587736348316,0.6129032258064516,32,61,0.4489706919147042,0.875,0.47191221043533366,0.0,4,0,0,31,0.008226587736348316,0.0,0.0,0.375,0.4,3,1.0,0.0,Q1,Q3,Q4
7,False,0.07917651832556465,0.375,25,67,0.4247807459342885,0.84,0.43434236523710207,0.0,4,2,0,24,0.07917651832556465,0.08333333333333333,0.0,0.25,0.2,3,1.0,0.0,Q3,Q3,Q2
8,False,0.1591299845379653,0.4,21,73,0.44021931148564053,0.8095238095238095,0.5111342569989187,0.0,4,3,0,20,0.1591299845379653,0.15,0.0,0.5,0.6,5,0.0,0.0,Q4,Q3,Q1
9,True,0.04968897195723602,0.48,26,78,0.7008686949013216,0.7307692307692308,0.37183706419536383,1.0,7,1,0,25,0.04968897195723601,0.04,0.0,0.25,0.2,4,0.0,0.0,Q2,Q4,Q3
10,True,0.03411624208163396,0.6428571428571429,29,86,0.6795422632441779,0.6551724137931034,0.38345457980212966,1.0,10,0,0,28,0.03411624208163397,0.0,0.0,0.25,0.4,3,1.0,1.0,Q1,Q4,Q3
11,False,0.07873480668847797,0.5833333333333334,25,88,0.4545279663817122,0.96,0.4035840355035402,0.0,1,1,0,24,0.07873480668847797,0.041666666666666664,0.0,0.375,0.4,4,0.0,0.0,Q3,Q3,Q2
12,True,0.162716042876414,0.1724137931034483,30,92,0.6159970228622883,0.6,0.24799125338599023,1.0,12,5,0,29,0.16271604287641403,0.1724137931034483,0.0,0.5,1.0,0,0.0,0.0,Q4,Q3,Q3
13,False,0.048519655434393384,0.7058823529411765,18,100,0.5605643383314843,1.0,0.6816931831637714,0.0,0,0,0,17,0.04851965543439339,0.0,0.0,0.375,0.6,5,0.0,0.5,Q2,Q3,Q1
14,False,0.06842992719276483,0.14285714285714285,22,111,0.34533427941543365,0.6818181818181819,0.3541847600284133,0.0,7,1,0,21,0.06842992719276483,0.047619047619047616,0.0,0.5,0.4,2,0.5,0.0,Q3,Q1,Q2
15,False,0.047863432381901105,0.5483870967741935,32,118,0.38675678089363763,0.71875,0.4415204587079587,0.0,9,1,0,31,0.04786343238190112,0.03225806451612903,0.0,0.25,0.2,4,0.0,1.0,Q2,Q2,Q4
16,True,0.09868335283521427,0.4090909090909091,23,127,0.7026979277998673,0.6956521739130435,0.4124418202959578,1.0,7,0,3,22,0.09868335283521427,0.0,0.13636363636363635,0.375,0.6,2,0.0,0.0,Q4,Q4,Q2
17,False,0.19525875527480216,0.4,31,135,0.3596770281490861,0.7419354838709677,0.3370957084794097,0.0,8,3,3,30,0.19525875527480216,0.1,0.1,0.25,0.2,4,0.0,0.5,Q4,Q2,Q4
18,False,0.008376649784691981,0.7,21,142,0.321924736160863,0.6190476190476191,0.3467266860124003,0.0,8,0,0,20,0.008376649784691981,0.0,0.0,0.375,0.4,3,0.5,0.5,Q1,Q1,Q1
19,False,0.04392383066633293,0.4166666666666667,25,150,0.2933342377067227,0.6799999999999999,0.2000028011204482,0.0,8,1,0,24,0.04392383066633291,0.041666666666666664,0.0,0.5,0.6,3,0.0,0.5,Q2,Q1,Q2
20,False,0.09866385285343099,0.0975609756097561,42,158,0.38092947175812747,0.7380952380952381,0.40469329145799726,0.0,11,4,0,41,0.09866385285343102,0.0975609756097561,0.0,0.125,0.2,3,0.5,0.0,Q3,Q2,Q4
21,False,0.08995365742258243,0.35,21,163,0.31397633615015935,0.7142857142857143,0.2276433883576741,0.0,6,1,1,20,0.08995365742258243,0.05,0.05,0.25,0.2,2,1.0,0.0,Q3,Q1,Q1
22,True,0.060908054100226226,0.38095238095238093,22,174,0.6929260912471809,0.7727272727272727,0.3060512088921179,1.0,5,1,0,21,0.06090805410022625,0.047619047619047616,0.0,0.0,0.0,5,0.0,0.0,Q2,Q4,Q2
23,False,0.06497974411751002,0.4444444444444444,28,183,0.3799641649440413,0.8214285714285714,0.3184640373928132,0.0,5,1,1,27,0.06497974411751002,0.037037037037037035,0.037037037037037035,0.25,0.2,5,0.0,0.0,Q3,Q2,Q3
24,False,0.03747322909051782,0.4090909090909091,23,189,0.444983646165546,0.8695652173913043,0.46538585460044085,0.0,3,0,0,22,0.03747322909051782,0.0,0.0,0.125,0.2,2,1.0,0.0,Q1,Q3,Q2
25,False,0.06760314964821271,0.23529411764705882,35,195,0.42573331137430426,0.8,0.4772000618429189,0.0,7,0,2,34,0.0676031496482127,0.0,0.058823529411764705,0.0,0.0,2,0.0,0.0,Q3,Q3,Q4
26,True,0.048939889766244,0.13793103448275862,30,203,0.7326373111383517,0.7666666666666666,0.4312454865396042,1.0,7,0,1,29,0.04893988976624399,0.0,0.034482758620689655,0.25,0.4,3,0.5,0.5,Q2,Q4,Q3
27,False,0.06685247377848355,0.34375,33,211,0.32983640981653195,0.6060606060606061,0.3834487223399227,0.0,13,2,0,32,0.06685247377848354,0.0625,0.0,0.5,0.6,5,0.0,1.0,Q3,Q1,Q4
28,True,0.029299938806174205,0.32,26,219,0.7797929616881105,0.8846153846153846,0.45476373438685896,1.0,3,0,1,25,0.029299938806174198,0.0,0.04,0.125,0.2,4,0.5,0.5,Q1,Q4,Q3
29,True,0.011972055173298957,0.0,26,227,0.7725580330168302,0.8076923076923077,0.5099820231256159,1.0,5,0,0,25,0.011972055173298957,0.0,0.0,0.375,0.6,2,0.0,0.0,Q1,Q4,Q3
30,False,0.27110199434597626,0.391304347826087,24,235,0.4527777267642114,0.9166666666666666,0.4416666494592992,0.0,2,5,1,23,0.27110199434597637,0.21739130434782608,0.043478260869565216,0.375,0.4,5,0.0,0.5,Q4,Q3,Q2
31,True,0.048579256459017964,0.47368421052631576,20,243,0.8052042479598245,1.0,0.4156129854407718,1.0,0,1,0,19,0.048579256459017964,0.05263157894736842,0.0,0.375,0.6,2,0.5,0.5,Q2,Q4,Q1
32,False,0.008887533661866438,0.16666666666666666,7,251,0.21349204214285714,0.4285714285714286,0.21190476190476187,0.0,4,0,0,6,0.008887533661866438,0.0,0.0,0.25,0.4,5,0.5,0.5,Q1,Q1,Q1
33,False,0.24088465564393124,0.38235294117647056,35,259,0.3794739008122592,0.6571428571428571,0.481278959136102,0.0,12,4,5,34,0.2408846556439313,0.11764705882352941,0.14705882352941177,0.375,0.6,5,0.0,1.0,Q4,Q2,Q4
34,False,0.12454187539156103,0.13636363636363635,23,267,0.33750570196488083,0.6956521739130435,0.31686503323331966,0.0,7,2,1,22,0.12454187539156102,0.09090909090909091,0.045454545454545456,0.125,0.2,3,0.5,0.0,Q4,Q1,Q2
35,False,0.06895875464755885,0.25806451612903225,32,275,0.3412581048442059,0.6875,0.33627441691005927,0.0,10,2,0,31,0.06895875464755886,0.06451612903225806,0.0,0.0,0.0,2,1.0,0.0,Q3,Q1,Q4
36,True,0.025011352186022292,0.5263157894736842,20,283,0.7458906912473414,0.9,0.33767229750925404,1.0,2,0,0,19,0.025011352186022306,0.0,0.0,0.5,0.6,2,1.0,1.0,Q1,Q4,Q1
37,False,0.17313635320196152,0.13333333333333333,16,291,0.4748227808455364,0.9375,0.4869684849834578,0.0,1,3,0,15,0.17313635320196152,0.2,0.0,0.375,0.6,4,1.0,0.0,Q4,Q3,Q1
38,True,0.08313217203816844,0.3,21,299,0.8485397329176592,1.0,0.5456194533149228,1.0,0,1,0,20,0.08313217203816844,0.05,0.0,0.125,0.2,4,0.0,0.0,Q3,Q4,Q1
39,True,0.013569857295258286,0.0,3,307,0.4871794384615385,0.33333333333333337,0.12820512820512822,1.0,2,0,0,2,0.013569857295258286,0.0,0.0,0.25,0.4,3,0.5,0.5,Q1,Q3,Q1
40,False,0.2116564967517296,0.18181818181818182,12,315,0.1545239736304137,0.33333333333333337,0.13023863391510448,0.0,8,2,0,11,0.2116564967517296,0.18181818181818182,0.0,0.0,0.0,4,0.5,0.0,Q4,Q1,Q1
41,False,0.22394265178337788,0.4230769230769231,27,323,0.31999491013715486,0.6666666666666667,0.2933181597432805,0.0,9,5,1,26,0.22394265178337788,0.19230769230769232,0.038461538461538464,0.25,0.2,5,0.0,0.5,Q4,Q1,Q3
42,False,0.04472935162459371,0.325,41,331,0.3748854325937566,0.6341463414634146,0.49051006878349623,0.0,15,1,0,40,0.044729351624593704,0.025,0.0,0.125,0.2,1,0.0,1.0,Q2,Q2,Q4
43,False,0.07631516300151191,0.2619047619047619,43,339,0.38456976044250435,0.7209302325581395,0.4327791641403133,0.0,12,2,1,42,0.07631516300151191,0.047619047619047616,0.023809523809523808,0.0,0.0,4,0.5,0.0,Q3,Q2,Q4
44,True,0.020044966274539534,0.3,31,347,0.7548282102203199,0.7741935483870968,0.49029130872234833,1.0,7,0,0,30,0.020044966274539534,0.0,0.0,0.375,0.6,2,0.5,0.5,Q1,Q4,Q4
45,False,0.04522500073624293,0.2413793103448276,30,355,0.41894654962439615,0.8,0.4568397745571658,0.0,6,1,0,29,0.04522500073624293,0.034482758620689655,0.0,0.125,0.2,4,0.0,0.5,Q2,Q2,Q3
46,False,0.04319754098429039,0.3793103448275862,30,363,0.3454224658828303,0.7,0.33626750127524113,0.0,9,0,1,29,0.04319754098429039,0.0,0.034482758620689655,0.25,0.4,2,0.0,0.0,Q2,Q1,Q3
47,False,0.06188075086447318,0.21052631578947367,20,371,0.3362080567017034,0.7,0.30862427096753725,0.0,6,1,0,19,0.06188075086447318,0.05263157894736842,0.0,0.5,0.6,4,0.0,1.0,Q3,Q1,Q1
48,True,0.005895225124231462,0.28,26,379,0.7226082607641664,0.7307692307692308,0.4370557683057683,1.0,7,0,0,25,0.005895225124231463,0.0,0.0,0.25,0.2,4,0.5,0.5,Q1,Q4,Q3
49,False,0.13592145524129057,0.8,16,387,0.41793806337900197,0.75,0.5038143155184375,0.0,4,2,0,15,0.13592145524129057,0.13333333333333333,0.0,0.125,0.2,3,0.0,0.5,Q4,Q2,Q1
