metric,correlation,p_value,abs_correlation,significant
conclusion_alignment,0.9999999999999999,0.0,0.9999999999999999,True
overall_faithfulness,0.910266805012929,5.1908837135645914e-20,0.910266805012929,True
strong_link_ratio,-0.37974829238199825,0.006527689269901132,0.37974829238199825,True
strong_links,-0.3796079285741526,0.0065491990717390725,0.3796079285741526,True
mean_causal_score,-0.3573548869102358,0.01084333790209798,0.3573548869102358,True
neural_causal_score,-0.35735488691023576,0.01084333790209798,0.35735488691023576,True
steps_count,-0.28111087433200865,0.04797887262422129,0.28111087433200865,True
weak_links,-0.21003894894069625,0.14318795505187312,0.21003894894069625,False
contextual_relevance,0.20957431421680545,0.14409524395899323,0.20957431421680545,False
rule_based_causal_score,0.17605831344313244,0.22132479892274096,0.17605831344313244,False
robustness_score,0.13799057948323815,0.33925236848684087,0.13799057948323815,False
logical_consistency,0.1315481588961965,0.36249309475904107,0.1315481588961965,False
aoc,0.052356112882227676,0.7180264211780764,0.052356112882227676,False
